headline,abstract,snippet,pub_date,web_url
Human Therapists Prepare for Battle Against A.I. Pretenders,"Chatbots posing as therapists may encourage users to commit harmful acts, the nation’s largest psychological organization warned federal regulators.","Chatbots posing as therapists may encourage users to commit harmful acts, the nation’s largest psychological organization warned federal regulators.",2025-02-24T10:00:15+0000,https://www.nytimes.com/2025/02/24/health/ai-therapists-chatbots.html
‘Eternal You’ and the Ethics of Using A.I. to ‘Talk’ to Dead Loved Ones,"Examining what it means to make money by selling the bereaved on an illusion, the film feels like something of a warning.","Examining what it means to make money by selling the bereaved on an illusion, the film feels like something of a warning.",2025-01-24T10:00:54+0000,https://www.nytimes.com/2025/01/24/movies/eternal-you-ai-grief.html
At the Intersection of A.I. and Spirituality,"Modern religious leaders are experimenting with A.I. just as earlier generations examined radio, television and the internet.","Modern religious leaders are experimenting with A.I. just as earlier generations examined radio, television and the internet.",2025-01-03T10:00:23+0000,https://www.nytimes.com/2025/01/03/technology/ai-religious-leaders.html
"A Manhunt in Manhattan, and Another Trump Pick in Trouble","Plus, the A.I. that aces weather forecasts.","Plus, the A.I. that aces weather forecasts.",2024-12-05T11:00:11+0000,https://www.nytimes.com/2024/12/05/podcasts/manhattan-shooting-hegseth-trouble.html
An ‘Interview’ With a Dead Luminary Exposes the Pitfalls of A.I.,A radio station in Poland fired its on-air talent and brought in A.I.-generated presenters. An outcry over a purported chat with a Nobel laureate quickly ended that experiment.,A radio station in Poland fired its on-air talent and brought in A.I.-generated presenters. An outcry over a purported chat with a Nobel laureate quickly ended that experiment.,2024-11-03T04:01:13+0000,https://www.nytimes.com/2024/11/03/world/europe/poland-radio-station-ai.html
"From A.I. to Musk’s Brain Chips, the F.D.A.’s Device Unit Faces Rapid Change",The new director overseeing medical devices will confront criticisms about hasty approvals as she ushers in revolutionary technology.,The new director overseeing medical devices will confront criticisms about hasty approvals as she ushers in revolutionary technology.,2024-11-01T15:12:43+0000,https://www.nytimes.com/2024/11/01/health/fda-ai-elon-musk-medical-devices.html
Two Students Created Face Recognition Glasses. It Wasn’t Hard.,"A Boston man had a strange encounter at a subway station. A month later, he discovered he was the star of the students’ viral video.","A Boston man had a strange encounter at a subway station. A month later, he discovered he was the star of the students’ viral video.",2024-10-24T16:10:54+0000,https://www.nytimes.com/2024/10/24/technology/facial-recognition-glasses-privacy-harvard.html
OpenAI Could Be a Force for Good if It Can Address These Issues First,The artificial intelligence start-up behind ChatGPT needs a legal structure that ensures its commitments can be enforced.,The artificial intelligence start-up behind ChatGPT needs a legal structure that ensures its commitments can be enforced.,2024-10-14T09:04:32+0000,https://www.nytimes.com/2024/10/14/opinion/open-ai-chatgpt-investors.html
How Tech Giants Are Devising Real Ethics for Artificial Intelligence,"Four people involved in the creation of an industry partnership say its intent will be clear: to ensure that A.I. research is focused on things that will benefit people, not hurt them.","Four people involved in the creation of an industry partnership say its intent will be clear: to ensure that A.I. research is focused on things that will benefit people, not hurt them.",2016-09-01T07:01:05+0000,https://www.nytimes.com/2016/09/02/technology/artificial-intelligence-ethics.html
New Research Center to Explore Ethics of Artificial Intelligence,"The president of Carnegie Mellon University, which will establish the center, said injecting ethical discussions into A.I. is necessary as the technology advances.","The president of Carnegie Mellon University, which will establish the center, said injecting ethical discussions into A.I. is necessary as the technology advances.",2016-11-02T01:00:16+0000,https://www.nytimes.com/2016/11/02/technology/new-research-center-to-explore-ethics-of-artificial-intelligence.html
That Message From Your Doctor? It May Have Been Drafted by A.I.,"Overwhelmed by queries, physicians are turning to artificial intelligence to correspond with patients. Many have no clue that the replies are software-generated.","Overwhelmed by queries, physicians are turning to artificial intelligence to correspond with patients. Many have no clue that the replies are software-generated.",2024-09-24T14:09:00+0000,https://www.nytimes.com/2024/09/24/health/ai-patient-messages-mychart.html
Artificial Intelligence as a Threat,Smarter technology requires smarter humans to keep machines under control.,Smarter technology requires smarter humans to keep machines under control.,2014-11-05T16:09:35+0000,https://www.nytimes.com/2014/11/06/fashion/artificial-intelligence-as-a-threat.html
Study to Examine Effects of Artificial Intelligence,"A study hosted by Stanford University will examine impacts on society, including on the economy, war and crime.","A study hosted by Stanford University will examine impacts on society, including on the economy, war and crime.",2014-12-15T22:03:49+0000,https://www.nytimes.com/2014/12/16/science/century-long-study-will-examine-effects-of-artificial-intelligence.html
