headline,abstract,snippet,pub_date,web_url
How Artificial Intelligence Reasons,Companies like OpenAI and China’s DeepSeek offer chatbots designed to take their time with an answer. Here’s how they work.,Companies like OpenAI and China’s DeepSeek offer chatbots designed to take their time with an answer. Here’s how they work.,2025-03-26T22:41:45+0000,https://www.nytimes.com/2025/03/26/technology/ai-reasoning-chatgpt-deepseek.html
Turing Award Goes to 2 Pioneers of Artificial Intelligence,"Andrew Barto and Richard Sutton developed reinforcement learning, a technique vital to chatbots like ChatGPT.","Andrew Barto and Richard Sutton developed reinforcement learning, a technique vital to chatbots like ChatGPT.",2025-03-05T10:03:27+0000,https://www.nytimes.com/2025/03/05/technology/turing-award-andrew-barto-richard-sutton.html
"Not a Coder? With A.I., Just Having an Idea Can Be Enough.",I’m not a programmer. But I’ve been creating my own software tools with help from artificial intelligence.,I’m not a programmer. But I’ve been creating my own software tools with help from artificial intelligence.,2025-02-27T16:01:25+0000,https://www.nytimes.com/2025/02/27/technology/personaltech/vibecoding-ai-software-programming.html
Is Artificial Intelligence Really Worth the Hype?,"After the arrival of a less costly A.I. model from China, U.S. markets and academics are wrestling with the ultimate economic value of the technology.","After the arrival of a less costly A.I. model from China, U.S. markets and academics are wrestling with the ultimate economic value of the technology.",2025-02-07T14:00:07+0000,https://www.nytimes.com/2025/02/07/business/ai-deepseek-nvidia-tesla.html
"Man Employs A.I. Avatar in Legal Appeal, and Judge Isn’t Amused",The use of a video persona created with artificial intelligence software to help make an argument earns a stern rebuke.,The use of a video persona created with artificial intelligence software to help make an argument earns a stern rebuke.,2025-04-05T01:01:19+0000,https://www.nytimes.com/2025/04/04/nyregion/ai-lawyer-replica-new-york.html
Tech Stock Shock + Solving the Mystery of OpenAI’s ‘Blip’ + Tinder’s Flirt-Off,What do Trump’s tariffs mean for tech consumers and the future of AI?,What do Trump’s tariffs mean for tech consumers and the future of AI?,2025-04-04T11:00:08+0000,https://www.nytimes.com/2025/04/04/podcasts/hardfork-tariffs-hagey-tinder.html
This A.I. Forecast Predicts Storms Ahead,The A.I. prediction world is torn between optimism and gloom. A report released on Thursday decidedly lands on the side of gloom.,The A.I. prediction world is torn between optimism and gloom. A report released on Thursday decidedly lands on the side of gloom.,2025-04-03T16:00:07+0000,https://www.nytimes.com/2025/04/03/technology/ai-futures-project-ai-2027.html
OpenAI Completes Deal That Values Company at $300 Billion,"The start-up’s valuation, which has nearly doubled in six months, shows continued enthusiasm for A.I. among investors.","The start-up’s valuation, which has nearly doubled in six months, shows continued enthusiasm for A.I. among investors.",2025-03-31T23:09:30+0000,https://www.nytimes.com/2025/03/31/technology/openai-valuation-300-billion.html
How Video Games Ushered In the A.I. Revolution,"In “The Thinking Machine,” the journalist Stephen Witt tries to figure out what the Nvidia C.E.O. Jensen Huang sees in the future of artificial intelligence.","In “The Thinking Machine,” the journalist Stephen Witt tries to figure out what the Nvidia C.E.O. Jensen Huang sees in the future of artificial intelligence.",2025-04-05T09:01:36+0000,https://www.nytimes.com/2025/04/05/books/review/the-thinking-machine-stephen-witt.html
"Isomorphic Labs, Google’s A.I. Drug Business, Raises $600 Million","The company, which uses artificial intelligence to develop new treatments, now counts the venture capital firm Thrive Capital as a backer.","The company, which uses artificial intelligence to develop new treatments, now counts the venture capital firm Thrive Capital as a backer.",2025-03-31T11:00:05+0000,https://www.nytimes.com/2025/03/31/business/dealbook/isomorphic-google-thrive-investment.html
Invasion of the Home Humanoid Robots,Dozens of companies are building robots that look like humans. One of them is training a machine to be a butler and will soon test them in homes.,Dozens of companies are building robots that look like humans. One of them is training a machine to be a butler and will soon test them in homes.,2025-04-04T09:01:05+0000,https://www.nytimes.com/2025/04/04/technology/humanoid-robots-1x.html
How Trump Could Make Larry Ellison the Next Media Mogul,"The co-founder of Oracle and friend of President Trump, who was a flamboyant fixture in the 1990s, has returned to the spotlight through — of all things — TikTok.","The co-founder of Oracle and friend of President Trump, who was a flamboyant fixture in the 1990s, has returned to the spotlight through — of all things — TikTok.",2025-04-02T14:57:00+0000,https://www.nytimes.com/2025/04/02/technology/trump-larry-ellison-tiktok-oracle.html
Bloomberg Has a Rocky Start With A.I. Summaries,The outlet has issued dozens of corrections to A.I.-generated news summaries since it started using the technology to write them this year.,The outlet has issued dozens of corrections to A.I.-generated news summaries since it started using the technology to write them this year.,2025-03-29T09:02:43+0000,https://www.nytimes.com/2025/03/29/business/media/bloomberg-ai-summaries.html
The Tech Behind Signalgate + Dwarkesh Patel’s ‘Scaling Era’ + Is A.I. Making Our Listeners Dumb?,“The group chats are popping off at the highest levels of government.”,“The group chats are popping off at the highest levels of government.”,2025-03-28T11:00:07+0000,https://www.nytimes.com/2025/03/28/podcasts/hardfork-signal-dwarkesh.html
